###################################################################################
#
# Mesen Game Database
#
# Automatically generated database based on Nestopia's DB and NesCartDB
#
# Generated on 2020-05-02 using:
#     -NewRisingSun's NES 2.0 header database (2020-04-26)
#     -NesCartDB (dated 2017-08-21)
#     -Nestopia UE's latest DB (dated 2015-10-22) 
# 
# Fields: CRC, System, Board, PCB, Chip, Mapper, PrgRomSize, ChrRomSize, ChrRamSize, WorkRamSize, SaveRamSize, Battery, Mirroring, Controller Type, Bus Conflicts, SubMapper, VsSystemType, PpuModel
#
###################################################################################
000B7B60,NesNtsc,,,,1,128,128,0,0,8,1,h,1,,0,,
001388B3,NesPal,NES-TLROM,NES-TLROM-03,MMC3C,4,256,128,0,0,0,0,h,1,,0,,
0016BFBA,NesNtsc,,,,176,512,384,0,0,0,0,h,1,,0,,
0021EBA8,NesPal,,,,0,32,0,8,0,0,0,h,1,,0,,
0021ED29,Famicom,HVC-SGROM,HVC-SGROM-02,MMC1A,1,256,0,8,0,0,0,h,1,,0,,
00263E3C,NesNtsc,,,,4,512,256,0,0,0,0,h,1,,0,,
00514347,NesNtsc,,,,4,32,8,0,0,0,0,h,1,,0,,
00737729,NesNtsc,,,,1,256,0,8,8,0,0,h,1,,0,,
0073DBD8,NesNtsc,,,,260,512,512,0,0,0,0,h,1,,0,,
00763EF6,NesNtsc,,,,1,512,0,8,0,0,0,h,1,,0,,
007BB58A,Famicom,,,,3,32,16,,0,0,0,v,,,,,
00837960,NesNtsc,NES-TSROM,NES-TSROM-08,MMC3C,4,256,256,0,8,0,0,h,1,,0,,
008E2D30,Famicom,HVC-SLROM,HVC-SLROM-03,MMC1B2,1,128,128,0,0,0,0,h,1,,0,,
009AF6BE,NesNtsc,NES-ANROM,NES-ANROM-03,,7,128,0,8,0,0,0,h,1,,1,,
00A53242,NesPal,,,,113,128,128,0,0,0,0,h,1,,0,,
00AD1189,NesPal,NES-SLROM,NES-SLROM-06,MMC1B2,1,128,128,0,0,0,0,h,1,,0,,
00BECBFE,NesNtsc,,,,4,128,128,0,8,0,0,h,1,,0,,
00C76093,NesNtsc,,,,4,128,128,0,0,0,0,h,1,,0,,
00E0959F,NesNtsc,,,,134,512,512,0,0,0,0,h,1,,0,,
00E95D86,NesNtsc,NES-UNROM,NES-UNROM-10,,2,128,0,8,0,0,0,v,1,,2,,
0101D156,NesNtsc,,,,0,32,8,0,0,0,0,h,1,,0,,
01131224,NesNtsc,,,,176,512,512,0,0,0,0,h,1,,0,,
011537CA,NesNtsc,,,,0,32,8,0,0,0,0,v,1,,0,,
0115EAF0,NesNtsc,,,,3,32,16,0,0,0,0,v,1,,2,,
0118D870,NesNtsc,,,,4,128,256,0,0,0,0,h,1,,0,,
0123BFFE,NesNtsc,NES-UNROM,NES-UNROM-10,,2,128,0,8,0,0,0,v,1,,2,,
01357944,VsSystem,,,,99,32,16,0,2,0,0,4,5,,0,0,2
0143EEB4,NesNtsc,,,,2,128,0,8,0,0,0,v,1,,2,,
01461C7F,NesNtsc,,,,2,64,0,8,0,0,0,h,1,,2,,
01488E38,NesNtsc,,,,52,512,512,0,0,0,0,h,1,,0,,
01518223,NesNtsc,,,,0,16,8,0,0,0,0,v,1,,0,,
015D4555,NesPal,NES-TKEPROM,NES-TKEPROM-02,MMC3C,4,128,128,0,0,0,0,h,1,,0,,
01609F57,NesNtsc,,,,2,128,0,8,0,0,0,v,1,,2,,
0163CA53,NesNtsc,BMC-FK23C,,,176,512,512,0,0,0,0,h,1,,0,,
016C93D8,Famicom,HVC-SGROM,HVC-SGROM-02,MMC1A,1,256,0,8,0,0,0,h,1,,0,,
018A8699,NesNtsc,ACCLAIM-MC-ACC,53361-2,MC-ACC,4,128,256,0,0,0,0,h,1,,3,,
01934171,NesNtsc,,,,4,128,128,0,0,0,0,h,1,,0,,
019F531B,NesNtsc,,,,3,32,32,0,0,0,0,v,1,,2,,
01A24301,Dendy,,,,164,1024,0,8,0,8,1,h,1,,0,,
01A2A609,NesNtsc,,,,0,32,8,0,0,0,0,v,1,,0,,
01B07343,NesNtsc,BADROM,,,65000,0,,,0,0,0,,,,,,
01B4CA89,NesNtsc,NES-CNROM,NES-CNROM-06,,3,32,32,0,0,0,0,h,1,,2,,
01B87025,NesNtsc,,,,1,128,128,0,0,0,0,h,8,,0,,
01BB9F32,NesNtsc,,,,111,512,0,32,0,0,0,4,41,,0,,
01E62AE2,NesNtsc,,,,2,128,0,8,0,0,0,v,1,,2,,
01F63D1A,NesNtsc,,,,1,256,0,8,8,0,0,h,1,,0,,
0212CA04,NesNtsc,,,,4,128,128,0,0,0,0,h,1,,0,,
021CC811,Dendy,,,,15,1024,0,8,0,8,1,h,1,,0,,
021E07EB,NesNtsc,,,,547,640,128,8,8,8,1,h,1,,0,,
02207FA2,NesNtsc,,,,4,256,128,0,8,0,0,h,1,,0,,
022589B9,Famicom,HVC-TKROM,HVC-TKROM-03,MMC3C,4,256,128,0,0,8,1,h,1,,0,,
023A5A32,Famicom,HVC-NROM-256,3I,,0,32,8,0,0,0,0,v,31,,0,,
023F36C6,NesNtsc,,,,1,128,128,0,0,8,1,h,1,,0,,
02589598,Famicom,HVC-SGROM,HVC-SGROM-01,MMC1,1,128,0,8,0,0,0,h,29,,0,,
02669C33,Famicom,,,,185,32,8,,0,0,0,h,,,,,
026C1E1A,NesNtsc,,,,3,32,32,0,0,0,0,h,1,,2,,
026C5FCA,Famicom,BANDAI-74*161/161/32,BA ワラ,,152,128,128,0,0,0,0,h,1,,0,,
026DBF97,NesNtsc,,,,0,32,8,0,0,0,0,v,1,,0,,
026E41C5,NesNtsc,NES-TLROM,NES-TLROM-02,MMC3B,4,128,128,0,0,0,0,h,1,,0,,
027FD794,Dendy,,,,176,256,256,0,0,32,1,h,1,,0,,
0282D975,NesNtsc,,,,269,4096,0,0,0,0,0,h,1,,0,,
028374F2,Famicom,HVC-TKROM,HVC-TKROM-02,MMC3B,4,128,128,0,0,8,1,h,1,,0,,
02863604,Famicom,HVC-UNROM,HVC-UNROM-03,,2,128,0,8,0,0,0,v,1,,2,,
028D29AA,Dendy,,,,241,512,0,8,0,8,1,v,1,,0,,
0295A133,NesNtsc,,,,313,512,512,0,8,0,1,h,42,,0,,
02B9E7C2,NesNtsc,NES-SL1ROM,NES-SL1ROM-03,MMC1B2,1,128,128,0,0,0,0,h,1,,0,,
02BC030E,NesNtsc,,,,0,32,16,0,0,0,0,v,1,,0,,
02C2220C,NesNtsc,,,,0,32,8,0,0,0,0,v,1,,0,,
02C41438,Dendy,,,,176,512,0,8,0,8,1,h,1,,0,,
02CC3973,NesNtsc,NES-CNROM,NES-CN-ROM-256-01,,3,32,32,0,0,0,0,v,1,,2,,
02CDA334,Dendy,,,,519,256,128,0,0,0,0,h,1,,0,,
02D7976B,Famicom,HVC-NROM-256,3A,,0,32,8,0,0,0,0,h,1,,0,,
02E0ADA4,NesPal,NES-TLROM,NES-TLROM-03,MMC3C,4,128,128,0,0,0,0,h,1,,0,,
02ED9012,Dendy,,,,4,256,256,0,0,0,0,h,1,,0,,
02EE3706,NesNtsc,NES-SGROM,NES-SGROM-02,MMC1B2,1,256,0,8,0,0,0,h,1,,0,,
02F051A0,Dendy,,,,249,256,256,0,0,0,0,h,1,,0,,
030B8EDA,NesNtsc,,,,4,128,128,0,0,0,0,h,1,,0,,
03272E9B,NesNtsc,NES-TLROM,NES-TLROM-03,MMC3B,4,128,128,0,0,0,0,h,1,,0,,
032AE256,NesNtsc,,,,0,16,8,0,0,0,0,v,1,,0,,
03341509,NesNtsc,,,,0,32,8,0,8,0,0,v,1,,0,,
03346083,Dendy,,,,176,256,256,0,0,32,1,h,1,,0,,
0354868A,Famicom,BANDAI-CNROM,BA-アスレチックス,,3,32,32,0,0,0,0,v,13,,2,,
035DC2E9,Famicom,HVC-NROM-128,2,,0,16,8,0,0,0,0,h,1,,0,,
037006F7,NesNtsc,,,,512,256,128,8,0,8,1,h,1,,0,,
0373AA21,NesNtsc,,,,1,128,128,0,0,8,1,h,1,,0,,
039426A8,NesNtsc,,,,1,256,0,8,0,8,1,h,1,,0,,
039B4A9C,Famicom,HVC-SLROM,HVC-SLROM-02,MMC1A,1,128,128,0,0,0,0,h,1,,0,,
03B8DEFA,NesPal,NES-SLROM,NES-SLROM-06,MMC1B2,1,128,128,0,0,0,0,h,1,,0,,
03D56CF7,Famicom,,,,1,128,0,8,0,0,0,h,1,,0,,
03E2898F,Famicom,HVC-TKROM,HVC-TKROM-03,MMC3C,4,256,256,0,0,8,1,h,1,,0,,
03E9C033,NesNtsc,,,,0,32,8,0,0,0,0,v,1,,0,,
03EC46AF,NesNtsc,NES-BTR,NES-BTR,FME-7,69,128,256,0,8,0,0,h,1,,0,,
03F899CD,NesNtsc,NES-TLROM,NES-TLROM-03,MMC3B,4,128,128,0,0,0,0,h,1,,0,,
03FB57B6,NesNtsc,NES-TLROM,NES-TLROM-03,MMC3B,4,128,128,0,0,0,0,h,1,,0,,
03FDEFAD,Famicom,,,,230,640,0,8,0,0,0,v,42,,0,,
040ABC34,NesNtsc,,,,4,128,128,0,0,8,1,h,1,,0,,
04109355,Famicom,IREM-UNROM,FC-00-02,,2,128,0,8,0,0,0,h,1,,2,,
04142764,NesPal,NES-TLROM,NES-TLROM-03,MMC3C,4,128,128,0,0,0,0,h,1,,0,,
041553C3,NesNtsc,,,,168,64,0,32,0,0,1,v,44,,0,,
04166E96,Dendy,,,,163,2048,0,8,0,8,1,v,1,,0,,
042107A8,NesNtsc,,,,4,128,128,0,0,0,0,h,1,,0,,
0430DB08,NesPal,NES-TLROM,NES-TLROM-03,MMC3C,4,128,128,0,0,0,0,h,1,,0,,
0437661E,Dendy,,,,58,128,64,0,0,0,0,h,1,,0,,
04398A9F,NesNtsc,,,,176,512,512,0,0,0,0,h,1,,0,,
044E0BAA,Dendy,,,,178,512,0,8,0,8,1,h,1,,0,,
045E8CD8,Famicom,HVC-TLROM,HVC-TLROM-04,MMC3B,4,128,128,0,0,0,0,h,1,,0,,
046CF9D5,NesNtsc,,,,383,512,512,0,0,0,0,h,1,,0,,
04766130,NesNtsc,NES-SKROM,NES-SKROM-06,MMC1B2,1,128,128,0,0,8,1,h,1,,0,,
047CB81C,Dendy,,,,178,512,0,8,8,0,0,h,40,,0,,
049325D9,Famicom,,,,112,128,256,0,8,0,0,h,1,,0,,
0496DD98,Playchoice,,,,4,256,256,0,0,0,0,h,1,,0,,
049DA14E,Dendy,,,,163,2048,0,8,0,8,1,v,1,,0,,
04A22528,NesNtsc,,,,45,1024,1024,0,0,0,0,h,42,,0,,
04B7CAAF,NesNtsc,,,,0,32,8,0,0,0,0,v,1,,0,,
04BE2206,Famicom,,,,0,32,8,,0,0,0,v,,,,,
04D800DA,Famicom,,,,3,32,32,,0,0,0,v,,,,,
04DFE0D4,Dendy,,,,163,2048,0,8,0,8,1,v,1,,0,,
04EF48F1,Playchoice,,,,0,16,8,0,0,0,0,h,1,,0,,
04F3354D,Famicom,,,,3,32,32,,0,0,0,v,,,,,
0504B007,NesNtsc,NES-NROM-128,NES-NROM-128-01,,0,16,8,0,0,0,0,v,1,,0,,
05104517,NesPal,NES-AMROM,NES-AMROM-01,,7,128,0,8,0,0,0,h,2,,2,,
051C4267,NesNtsc,,,,52,512,512,0,0,0,0,h,1,,0,,
051CD5F2,Famicom,HVC-TLROM,HVC-TLROM-04,MMC3C,4,128,128,0,0,0,0,h,1,,0,,
0524BDA1,NesNtsc,,,,295,1024,0,8,8,0,0,h,1,,0,,
052AE3F5,Famicom,,,,2,128,,8,0,0,0,v,,,,,
0537322A,NesNtsc,NES-AMROM,NES-AMROM-01,,7,128,0,8,0,0,0,h,1,,2,,
05378607,NesNtsc,NES-SLROM,NES-SLROM-06,MMC1B2,1,128,128,0,0,0,0,h,1,,0,,
054444A0,Dendy,,,,163,1024,0,8,0,8,1,v,1,,0,,
0546BD12,Famicom,,,,4,128,128,0,0,8,1,h,1,,0,,
054BD3E9,Dendy,,,,74,512,256,2,0,8,1,h,1,,0,,
054CB4EB,NesNtsc,NES-TLROM,NES-TLROM-02,MMC3B,4,128,128,0,0,0,0,h,1,,0,,
054E7851,VT03,,,,256,32,0,0,0,0,0,h,1,,0,,
0554394F,NesNtsc,,,,79,32,32,0,0,0,0,v,1,,0,,
05553597,NesNtsc,,,,265,1024,0,8,0,0,0,h,1,,0,,
056F2B8E,Dendy,,,,163,2048,0,8,0,8,1,v,1,,0,,
058F23A2,NesNtsc,NES-TSROM,NES-TSROM-07,MMC3B,4,128,128,0,8,0,0,h,1,,0,,
059E0CDF,NesNtsc,NES-SLROM,NES-SLROM-06,MMC1B3,1,128,128,0,0,0,0,h,1,,0,,
05A688C8,NesNtsc,NES-UNROM,NES-UNROM-08,,2,128,0,8,0,0,0,h,1,,2,,
05A8434E,NesNtsc,,,,4,128,128,0,0,0,0,h,3,,0,,
05A9D7A5,NesNtsc,,,,1,256,0,8,0,8,1,h,1,,0,,
05B9B9FB,NesNtsc,,,,45,512,512,0,0,0,0,h,1,,0,,
05C4AF33,NesNtsc,,,,93,128,0,8,0,0,0,v,1,,0,,
05CE560C,NesNtsc,NES-TLROM,NES-TLROM-03,MMC3C,4,128,256,0,0,0,0,h,1,,0,,
05DF8C81,NesNtsc,,,,52,512,512,0,0,0,0,h,1,,0,,
05E43745,NesNtsc,,,,176,512,512,0,8,0,0,h,42,,0,,
05E8C5F8,NesNtsc,,,,30,512,0,32,0,0,1,v,1,,0,,
05F04EAC,Famicom,TAITO-X1-017,J9100231A,X1-017,82,128,128,0,0,8,1,h,1,,0,,
06130A0E,NesNtsc,,,,4,128,256,0,0,0,0,h,1,,0,,
06143FB3,NesNtsc,,,,5,1024,1024,0,0,32,1,h,1,,0,,
06144B4A,Famicom,IREM-74*161/161/21/138,LROG017-00,,77,128,32,8,0,0,0,4,1,,0,,
06145246,NesNtsc,,,,23,128,128,0,0,0,0,h,1,,3,,
062CC3FB,Dendy,,,,4,256,256,0,0,0,0,h,1,,0,,
062DCB6D,Famicom,,,,211,256,256,0,0,0,0,h,1,,0,,
063B1151,Famicom,,,,209,128,256,0,0,0,0,h,1,,0,,
063E5653,NesNtsc,NES-SLROM,NES-SLROM-06,MMC1B2,1,128,128,0,0,0,0,h,1,,0,,
06406EB9,NesNtsc,,,,113,128,64,0,0,0,0,h,1,,0,,
06689AA4,NesPal,NES-SLROM,NES-SLROM-06,MMC1B2,1,128,128,0,0,0,0,h,1,,0,,
06961BE4,NesNtsc,NES-SLROM,NES-SLROM-06,MMC1B2,1,256,128,0,0,0,0,h,1,,0,,
069D1215,NesNtsc,,,,215,256,256,0,0,0,0,h,1,,0,,
06D0852F,Dendy,,,,268,512,0,8,0,8,1,h,1,,0,,
06D13D9E,NesNtsc,BMC-FK23C,,,176,1024,1024,0,0,0,0,h,1,,1,,
06D72C83,NesNtsc,NES-UNROM,NES-UN-ROM-07,,2,128,0,8,0,0,0,v,1,,2,,
